,time_stamp,hash,time
471,1.48314E+12,48052807.5,2016-12-31T00:00:00Z
472,1.48323E+12,47739288.25,2017-01-01T00:00:00Z
473,1.48332E+12,54218923.95,2017-01-02T00:00:00Z
474,1.4834E+12,57020685.35,2017-01-03T00:00:00Z
475,1.48349E+12,56880035.25,2017-01-04T00:00:00Z
476,1.48357E+12,53975995.72,2017-01-05T00:00:00Z
477,1.48366E+12,54646035.87,2017-01-06T00:00:00Z
478,1.48375E+12,52845483.32,2017-01-07T00:00:00Z
479,1.48383E+12,54673734.35,2017-01-08T00:00:00Z
480,1.48392E+12,51913612.61,2017-01-09T00:00:00Z
481,1.48401E+12,47832731.52,2017-01-10T00:00:00Z
482,1.48409E+12,53004560.54,2017-01-11T00:00:00Z
483,1.48418E+12,52717670.53,2017-01-12T00:00:00Z
484,1.48427E+12,51719836.75,2017-01-13T00:00:00Z
485,1.48435E+12,48421807.82,2017-01-14T00:00:00Z
486,1.48444E+12,47941643.14,2017-01-15T00:00:00Z
487,1.48452E+12,48083943.14,2017-01-16T00:00:00Z
488,1.48461E+12,50751368.24,2017-01-17T00:00:00Z
489,1.4847E+12,50833757.99,2017-01-18T00:00:00Z
490,1.48478E+12,49578457.16,2017-01-19T00:00:00Z
491,1.48487E+12,52862057.51,2017-01-20T00:00:00Z
492,1.48496E+12,55809446.84,2017-01-21T00:00:00Z
493,1.48504E+12,52627103.57,2017-01-22T00:00:00Z
494,1.48513E+12,49415110.21,2017-01-23T00:00:00Z
495,1.48522E+12,51824451.34,2017-01-24T00:00:00Z
496,1.4853E+12,49890380.59,2017-01-25T00:00:00Z
497,1.48539E+12,50482339.91,2017-01-26T00:00:00Z
498,1.48548E+12,50309973.32,2017-01-27T00:00:00Z
499,1.48556E+12,54145790.93,2017-01-28T00:00:00Z
500,1.48565E+12,51660506.65,2017-01-29T00:00:00Z
501,1.48573E+12,52066541.49,2017-01-30T00:00:00Z
502,1.48582E+12,54587562.22,2017-01-31T00:00:00Z
503,1.48591E+12,55964744.75,2017-02-01T00:00:00Z
504,1.48599E+12,52056653.2,2017-02-02T00:00:00Z
505,1.48608E+12,56368015.22,2017-02-03T00:00:00Z
506,1.48617E+12,53426169.43,2017-02-04T00:00:00Z
507,1.48625E+12,54314059.44,2017-02-05T00:00:00Z
508,1.48634E+12,55073998.89,2017-02-06T00:00:00Z
509,1.48643E+12,55948806.15,2017-02-07T00:00:00Z
510,1.48651E+12,55503445.66,2017-02-08T00:00:00Z
511,1.4866E+12,54092117.22,2017-02-09T00:00:00Z
512,1.48668E+12,55138469.67,2017-02-10T00:00:00Z
513,1.48677E+12,57447168.61,2017-02-11T00:00:00Z
514,1.48686E+12,56726712.46,2017-02-12T00:00:00Z
515,1.48694E+12,52266343.08,2017-02-13T00:00:00Z
516,1.48703E+12,55143061.35,2017-02-14T00:00:00Z
517,1.48712E+12,56480363.04,2017-02-15T00:00:00Z
518,1.4872E+12,53185622.67,2017-02-16T00:00:00Z
519,1.48729E+12,58625111.13,2017-02-17T00:00:00Z
520,1.48738E+12,62653838.17,2017-02-18T00:00:00Z
521,1.48746E+12,60041807.32,2017-02-19T00:00:00Z
522,1.48755E+12,57158190.38,2017-02-20T00:00:00Z
523,1.48764E+12,59168056.78,2017-02-21T00:00:00Z
524,1.48772E+12,62383541.86,2017-02-22T00:00:00Z
525,1.48781E+12,61888616.84,2017-02-23T00:00:00Z
526,1.48789E+12,65224060.56,2017-02-24T00:00:00Z
527,1.48798E+12,57828242.16,2017-02-25T00:00:00Z
528,1.48807E+12,57141700.96,2017-02-26T00:00:00Z
529,1.48815E+12,60380204.31,2017-02-27T00:00:00Z
530,1.48824E+12,60812533.2,2017-02-28T00:00:00Z
531,1.48833E+12,56574526.76,2017-03-01T00:00:00Z
532,1.48841E+12,54179328.37,2017-03-02T00:00:00Z
533,1.4885E+12,55524686.73,2017-03-03T00:00:00Z
534,1.48859E+12,53953295.85,2017-03-04T00:00:00Z
535,1.48867E+12,50869029.08,2017-03-05T00:00:00Z
536,1.48876E+12,53061506.22,2017-03-06T00:00:00Z
537,1.48884E+12,55463862.01,2017-03-07T00:00:00Z
538,1.48893E+12,56014478.51,2017-03-08T00:00:00Z
539,1.48902E+12,54467759.4,2017-03-09T00:00:00Z
540,1.4891E+12,54536599.19,2017-03-10T00:00:00Z
541,1.48919E+12,55940601.12,2017-03-11T00:00:00Z
542,1.48928E+12,59478796.67,2017-03-12T00:00:00Z
543,1.48936E+12,61127650.91,2017-03-13T00:00:00Z
544,1.48945E+12,62716339.66,2017-03-14T00:00:00Z
545,1.48954E+12,67177341.65,2017-03-15T00:00:00Z
546,1.48962E+12,64351289.18,2017-03-16T00:00:00Z
547,1.48971E+12,63937844.8,2017-03-17T00:00:00Z
548,1.4898E+12,57443933.02,2017-03-18T00:00:00Z
549,1.48988E+12,54476337.7,2017-03-19T00:00:00Z
550,1.48997E+12,57182100.67,2017-03-20T00:00:00Z
551,1.49005E+12,55645193.65,2017-03-21T00:00:00Z
552,1.49014E+12,59837391.89,2017-03-22T00:00:00Z
553,1.49023E+12,59958225,2017-03-23T00:00:00Z
554,1.49031E+12,56034807.61,2017-03-24T00:00:00Z
555,1.4904E+12,52906140.67,2017-03-25T00:00:00Z
556,1.49049E+12,59522911.1,2017-03-26T00:00:00Z
557,1.49057E+12,57643513.28,2017-03-27T00:00:00Z
558,1.49066E+12,60667625.41,2017-03-28T00:00:00Z
559,1.49075E+12,62528809.82,2017-03-29T00:00:00Z
560,1.49083E+12,59915750.98,2017-03-30T00:00:00Z
561,1.49092E+12,58814338.64,2017-03-31T00:00:00Z
562,1.491E+12,60714827.34,2017-04-01T00:00:00Z
563,1.49109E+12,61399983.97,2017-04-02T00:00:00Z
564,1.49118E+12,64403256.76,2017-04-03T00:00:00Z
565,1.49126E+12,61096663.81,2017-04-04T00:00:00Z
566,1.49135E+12,62468712.25,2017-04-05T00:00:00Z
567,1.49144E+12,63787197.04,2017-04-06T00:00:00Z
568,1.49152E+12,62099051.44,2017-04-07T00:00:00Z
569,1.49161E+12,70137605.22,2017-04-08T00:00:00Z
570,1.4917E+12,77649830.44,2017-04-09T00:00:00Z
571,1.49178E+12,84087687.83,2017-04-10T00:00:00Z
572,1.49187E+12,79479605.77,2017-04-11T00:00:00Z
573,1.49196E+12,84454252.08,2017-04-12T00:00:00Z
